poolId,gaugeAddress,poolTokenName,beetsAmount,stSAmount,fragmentsAmount,addBeetsRewardToken,addStSRewardToken,addFragmentsRewardToken,hasWrongDistributor
0x25ca5451cd5a50ab1d324b5e64f32c0799661891000200000000000000000018,0xa472438718fe7785107fcbe584d39183a6420d36,scUSD/stS-Weighted-0x25ca,4137,0,0,false,false,false,false
0x713fb5036dc70012588d77a5b066f1dd05c712d7000200000000000000000041,0xb3bf2c247a599dfcef06791b1668fe9456677923,USDC/stS-Weighted-0x713f,1239,0,0,false,false,false,false
0x322dc65f89569ac510fa3949651790da5871195c000200000000000000000075,0xfca28e262590d001552b0af20dba1380148c9332,DEUS/stS-Weighted-0x322d,42,0,0,false,false,false,false
0x32bac522c4f97f4913d18d81cf3be119c8cce26a000100000000000000000050,0xfa6027d781fceb4c1a6d29744f41bcad77fb8dc9,scETH/F/scUSD/stS-Weighted-0x32ba,42,0,0,false,false,false,false
0x21fed4063bf8ebf4f51f4adf4ecfc9717aa4ca9d000100000000000000000044,0xf6a0071f5607f589df253e0991ba6abdde7a6d32,BEETS/stS/LUDWIG-Weighted-0x21fe,0,0,0,false,false,false,false
0x15761307e86baf700f29052e357a88f49b33b1b400010000000000000000009a,0xb6f5702b0da321a38a2a43a31ebe4b05183a85d5,fMULTI/MCLB/stS-Weighted-0x1576,22407,0,0,false,false,false,false
0x944d4ae892de4bfd38742cc8295d6d5164c5593c,0x27aaf70334cc564bcedfe0cca43cf3dadc850bea,wS/anS-Boosted-0x944d,11319,0,0,false,false,false,false
0xbd4a2ecdcd7acb0d2b20744ac4cc1368dd8fdc410001000000000000000000a8,0xdbc37b018d4d0536e624ffd3f338f218223a9b61,scETH/scBTC/scUSD/stS-Weighted-0xbd4a,0,0,0,false,false,false,false
0xa476b33460e792bac5cc294ba19f0543ab00dc01,0x52c518a5a8644bd5225ffaea38f9512af5b8dcae,USDC/FLY/stS-Weighted-0xa476,3780,0,0,false,false,false,false
0xb246d02278834c4c67b5b4db17288d9469e3c34700010000000000000000009b,0xfeffd8cf5abf4690eef0ac77779ed7bde6d37c93,BOL/MCLB/stS-Weighted-0xb246,0,0,0,false,false,false,false
0x34b883e1d8d8b7750fb2311202564c5396dc8a9f00020000000000000000010c,0x6cf8f39fd4fbd3fdb6eafc9492dcdfed5c095bf2,wS/stS-ECLP-0x34b8,42,0,0,false,false,false,false
0xf0f59a4aaba7772fb7361793c3ffbe1111bb5a8b,0xaac72afacbd15bc1f0fc5bc4d4433543cd139f26,BEETS/Shadow/xSILO/METRO/SWPx/EQUAL/BRUSH/stS-Weighted-0xf0f5,63,0,0,false,false,false,false
0x74dc857d5567a3b087e79b96b91cdc8099b2fa34,0x3b8fe7695780c54ed57811297bc027b10c0d4e7b,wS/USDC/WETH/scBTC-BTF-0x74dc,26460,0,0,false,false,false,false
0xaef211ff62d7f7e6f00e9f8c5188ba2cfd33d40900020000000000000000011c,0x72afdf4e51b780fd46936856e4c81ff3e12d0adf,wS/USDC-ECLP-0xaef2,3612,0,0,false,false,false,false
0xff4af8b7046d17d7bc16e125fc736b85605b1afb00020000000000000000011d,0x769b28b8f40f96be4842d41fba6e4f56098dc62c,USDC/WETH-ECLP-0xff4a,81719,0,0,false,false,false,false
0x75b000584a7d86fb3ef5e15ba26f4c52b41be0e9,0xae647ea922d392cc825c51967382940a30893f6d,wS/stS-Stable-0x75b0,103596,0,0,false,false,false,false
0x802e7175e8f2168f15b0cc57540169c61d63c9d4,0xc4c97ec58e3024fddddd6173b663234eea6f27ae,scUSD/TREVEE-Weighted-0x802e,3780,0,0,false,false,false,false
0x3849ad7f879f8b8f5f41807dc2a6940765d8f14e000200000000000000000120,0x34a2eb443fccd43d72ba90112266662054233783,wS/USDC-ECLP-0x3849,40328,0,0,false,false,false,false
0x7a2284a1f44fe05db25cbe382475d02ee8f339a700020000000000000000011e,0x1d991a6ba9d493b30d91db985bf3c33c94a57561,wBTC/wETH-ECLP-0x7a22,7392,0,0,false,false,false,false
0x311ba456c9751608980a4308420f591deeef915c,0x1cd761c2ed1634427fc8d0889a19873b07e64c46,wBTC/ECO-Weighted-0x311b,0,0,0,false,false,false,false
0xf5bdb1a768240f15adb760f20c2ad9927774ed57,0xca3925320c6b73692563bc2aa30740789478b4c8,USSD/USDC-Boosted-0xf5bd,30042,0,0,false,false,false,false
